,rev_id,score
473,698572183,Stub
474,698572200,Stub
475,698572239,Stub
476,698572252,Stub
477,698572269,Stub
478,698572288,Stub
479,698572291,Stub
480,698572322,Stub
481,698572326,Stub
482,698572327,
483,698573619,Stub
484,698573648,Stub
485,698573657,Stub
486,698573663,Stub
487,698573690,Stub
488,698573707,Stub
489,698573738,Stub
490,698575586,Stub
491,698575613,Stub
492,698575620,Stub
493,698575646,Stub
494,698575662,Stub
495,698575677,Stub
496,698575695,Stub
497,698575714,Stub
498,698582041,Stub
499,698635954,Start
500,698806662,Stub
501,698806682,Stub
502,698807297,Stub
503,698807322,Stub
504,698807325,Start
505,698807337,Stub
506,698807345,Stub
507,698807371,Stub
508,698807791,Stub
509,698865505,Start
510,698946168,Stub
511,698946169,Stub
512,698947539,Stub
513,698947672,Stub
514,698947841,Stub
515,698948097,Stub
516,698948150,Stub
517,698964210,C
518,699022350,Stub
519,699090098,Stub
520,699090515,Stub
521,699093655,Stub
522,699105110,Stub
523,699105313,Stub
524,699105350,Start
525,699105456,Stub
526,699105911,Start
527,699105927,Start
528,699105952,Stub
529,699105999,Stub
530,699106128,Stub
531,699106152,Stub
532,699106649,Stub
533,699106665,Stub
534,699136209,Stub
535,699143672,Stub
536,699197059,Stub
537,699197123,C
538,699197323,Stub
539,699197850,Start
540,699198463,Start
541,699198744,Start
542,699199094,Stub
543,699217035,Stub
544,699217197,Stub
545,699244801,Stub
546,699260156,
547,699336500,Start
548,699336835,Stub
549,699336991,Start
550,699337057,Start
551,699337076,Stub
552,699337845,Stub
553,699338274,Stub
554,699338569,Stub
555,699339086,Stub
556,699339429,Start
557,699339451,Stub
558,699339741,Stub
559,699339799,Stub
560,699339851,Stub
561,699340034,Stub
562,699340111,Stub
563,699340192,Start
564,699340750,Stub
565,699340982,Start
566,699341069,Start
567,699341077,Stub
568,699341277,Start
569,699359388,Start
570,699363937,Stub
571,699385095,Stub
572,699387282,Stub
573,699387500,Stub
574,699387764,Stub
575,699520934,Start
576,699565471,Stub
577,699589239,Stub
578,699674395,Stub
579,699691415,Start
580,699692070,Stub
581,699698855,Stub
582,699698896,Stub
583,699700649,Stub
584,699701755,Stub
585,699739069,Stub
586,699876153,Stub
587,699931269,Stub
588,699979806,C
589,700002117,Stub
