,page,country,rev_id,Unnamed: 0,score
28550,Hrayr Karapetyan,Armenia,790410710,28549.0,
29322,Bill Evans (politician),United States,791429003,29321.0,
29641,Claybourn – Claiborne – Clayborn family,United States,791866288,29640.0,
29842,N. Padmalochanan,India,792184018,29841.0,
29977,Marko Selakovic,Serbia,792400552,29976.0,
30003,Praveen Agrawal,India,792440851,30002.0,
30205,Caleb Crosby,United States,792857662,30204.0,
30251,Draft:John Johansson i Gränö,Sweden,792933603,30250.0,
30497,Tibor Gaal de Hatvan,Hungary,793280504,30496.0,
31226,Chukwuemeka Ihedioha,Nigeria,794311724,31225.0,
31273,Gregorei Alexandrovich,Russia,794409906,31272.0,
31561,Josh Miller (politician),United States,794768894,31560.0,
31626,List of Ghana heads of state by age,Ghana,794866848,31625.0,
31771,Alfred Moungara Moussotsi,Gabon,794990759,31770.0,
32155,Hari Bhakta Kandel,Nepal,795545202,32154.0,
32226,Fraz Wahlah,Pakistan,795588781,32225.0,
33158,Hovik Jivanyan,Armenia,796744496,33157.0,
33178,Stanford Morse,United States,796758810,33177.0,
33696,Dan Hilton,Canada,797311794,33695.0,
34270,Volodymyr Manzhosov,Ukraine,797902544,34269.0,
34413,Misir Mardanov,Azerbaijan,798073295,34412.0,
34982,Jesse Spikes,United States,798615865,34981.0,
35168,Ramesh Chander Bidhan,India,798841317,35167.0,
35199,Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,35198.0,
35245,Maria Hadjipavlou,Cyprus,798891126,35244.0,
35329,Kevin Malcolm Everett,United Kingdom,798945915,35328.0,
35334,Darcie Lanthier,Canada,798952867,35333.0,
35437,Morteza Kazemian,Iran,799036953,35436.0,
35669,V. Sadasivan,India,799263010,35668.0,
35704,Norm Wolfinger,United States,799300265,35703.0,
35987,Mohd Eekmal Ahmad,Malaysia,799540668,35986.0,
36344,Raja Muhammad Akbar Khan,Pakistan,799880073,36343.0,
36414,Rich Eychaner,United States,799933274,36413.0,
36462,José Francisco Gomes Monteiro,Portugal,799981363,36461.0,
36547,Michael McInerney,Ireland,800072571,36546.0,
36623,Craig Huey,United States,800144885,36622.0,
36732,Abhimanyu Rao,India,800233652,36731.0,
36949,Donald Jeffrey Large,United States,800299837,36948.0,
37135,Dragan Klaric,Sweden,800471126,37134.0,
37216,Bashir Ahmed Sarki,Pakistan,800574730,37215.0,
37351,Siddique Nazmul Alam,Bangladesh,800707821,37350.0,
37471,Vasyl Stefanyk,Hungary,800802122,37470.0,
37870,Georges Sada,Iraq,801177435,37869.0,
38096,Anwara Ali,United Kingdom,801306872,38095.0,
38457,Secular and Nationalist Jinnah,Pakistan,801536406,38456.0,
38509,Ambedkarism,India,801563949,38508.0,
38512,Michael Briguglio,Malta,801566979,38511.0,
38614,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,38613.0,
38658,Abhijit Pandya,United Kingdom,801696196,38657.0,
38784,Ouyang Xiu,China,801835819,38783.0,
39113,Ali Asghar Khan (politician),Pakistan,802148439,39112.0,
39228,List of politicians on Veep,United States,802302246,39227.0,
39478,Daniel O'Neill (Royalist),Ireland,802445176,39477.0,
39550,Ananda Syahendar Perdana,Indonesia,802475516,39549.0,
39584,Ezatullah Mujahid,Afghanistan,802515929,39583.0,
39895,Maciej Filip Zegarski,Poland,802765034,39894.0,
40042,Bernard Binlin Dadié,Ivorian,802904214,40041.0,
40092,Than Htay,Myanmar,802937732,40091.0,
40510,Anatoliy Peshko,Ukraine,803413615,40509.0,
40594,Kevin Hardwick,United States,803484030,40593.0,
40902,David Sparrow,Canada,803784385,40901.0,
41237,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,41236.0,
41331,João Victor Guedes,Brazil,804118645,41330.0,
41395,Kampa Borgoyary,India,804158476,41394.0,
41772,Lucia Lucchesi-Ghiselli,Italy,804473605,41771.0,
42026,Lib Peck,United Kingdom,804697858,42025.0,
42121,Dudley–Winthrop family,United States,804791599,42120.0,
42353,Larry A. Kaczala,United States,804941978,42352.0,
42366,William M. Rainach,United States,804945338,42365.0,
42379,David J. Dwork,United States,804946658,42378.0,
42561,Ron Crickenberger,United States,805031334,42560.0,
42573,Lav Grigorije Pajkić,Serbia,805041930,42572.0,
42819,Richards–Young family,United States,805211553,42818.0,
43113,Ian Axton,United Kingdom,805420467,43112.0,
43283,Dennis Shea (lawyer),United States,805517427,43282.0,
43529,Kamrul Hasan Nasim,Bangladesh,805697623,43528.0,
43661,Political positions of Pat Buchanan,United States,805788048,43660.0,
43905,Hossein Khan Movaghar,Iran,805936041,43904.0,
43957,Ali Asghar Mousapasandi,Iran,805970954,43956.0,
43984,Valeriy Panasenko,Moldova,805993160,43983.0,
44042,Edivaldo Holanda Júnior,Brazil,806030859,44041.0,
44263,Rajah Alon,Philippines,806179522,44262.0,
44349,Golam Mohammad Rabbani,Bangladesh,806223655,44348.0,
44606,Mohammed Naguib,Egypt,806372496,44605.0,
44655,Phillip Jackson,United States,806403304,44654.0,
44876,Valeriu Turea,Moldova,806542084,44875.0,
45134,Rajah Gambang,Philippines,806695084,45133.0,
45161,Claudia Cruz Santiago,Mexico,806708318,45160.0,
45342,Olajide Awosedo,Nigeria,806811023,45341.0,
45665,William McMahon,Australia,807000274,45664.0,
45921,Dirtbag Left,United States,807161510,45920.0,
46014,Guy Georgias,Zimbabwe,807196681,46013.0,
46287,John Rose (Trotskyist),United Kingdom,807336308,46286.0,
46367,Jalal Movaghar,Iran,807367030,46366.0,
46368,Mohsen Movaghar,Iran,807367166,46367.0,
46686,King Gutierrez,Philippines,807479587,46685.0,
46700,Ajay Kannoujiya,India,807484325,46699.0,
